year,month,region,city1,city2,sales_amounts,sales_volume,prices
2015,8,경북,의성,의성,505,387,1304
2015,8,대구,달성,대구,77,62,1237
2015,8,대구,대구중구,대구,49,40,1225
2015,8,전남,고흥,고흥,17,16,1061
2015,8,전남,나주,광주,2,2,976
2015,8,전남,무안,목포,7757,6044,1283
2015,8,전남,신안,목포,104,102,1024
2015,8,전남,영암,강진군,126,106,1188
2015,8,전남,장흥,장흥,13,21,608
2015,8,전남,함평,영광,2460,1870,1315
2015,8,전남,해남,해남,748,631,1184
2015,8,전북,고창,고창,112,87,1282
2015,8,전북,부안,부안,282,209,1349
2015,8,전북,익산,군산,37,32,1177
2015,8,충남,서산,서산,42,29,1441
2015,9,경기,구리,서울,971,896,1084
2015,9,경남,창녕,밀양,803,721,1114
2015,9,경남,함양,산청,123,99,1242
2015,9,경남,합천,합천,50,43,1156
2015,9,경북,경산,대구,62,49,1275
2015,9,경북,군위,의성,37,33,1122
2015,9,경북,김천,추풍령,197,159,1242
2015,9,경북,문경,문경,28,21,1333
2015,9,경북,안동,안동,30,24,1242
2015,9,경북,영천,영천,288,234,1232
2015,9,경북,의성,의성,288,225,1278
2015,9,대구,달성,대구,37,29,1298
2015,9,대구,대구중구,대구,34,30,1128
2015,9,전남,고흥,고흥,16,16,1024
2015,9,전남,나주,광주,10,9,1025
2015,9,전남,무안,목포,7409,5937,1248
2015,9,전남,신안,목포,351,293,1201
2015,9,전남,영암,강진군,213,173,1230
2015,9,전남,장흥,장흥,18,29,613
2015,9,전남,함평,영광,1856,1432,1296
2015,9,전남,해남,해남,544,467,1165
2015,9,전북,고창,고창,40,34,1199
2015,9,전북,부안,부안,295,208,1413
2015,9,전북,완주,전주,2,3,830
2015,9,전북,익산,군산,43,32,1310
2015,9,제주,서귀포,서귀포,6,4,1324
2015,9,제주,제주,제주,22,16,1351
2015,9,충남,서산,서산,2,1,1504
2015,10,경기,구리,서울,981,902,1088
2015,10,경남,밀양,밀양,12,10,1138
2015,10,경남,창녕,밀양,789,733,1077
2015,10,경남,창원의창,북창원,16,12,1309
2015,10,경남,함양,산청,123,96,1282
2015,10,경남,합천,합천,113,86,1309
2015,10,경북,경산,대구,129,106,1223
2015,10,경북,구미,구미,12,10,1261
2015,10,경북,군위,의성,163,123,1320
2015,10,경북,김천,추풍령,233,175,1332
2015,10,경북,문경,문경,27,19,1432
2015,10,경북,안동,안동,291,217,1343
2015,10,경북,영천,영천,142,106,1343
2015,10,경북,의성,의성,83,64,1304
2015,10,대구,달성,대구,47,37,1270
2015,10,대구,대구중구,대구,35,28,1237
2015,10,전남,고흥,고흥,46,35,1327
2015,10,전남,무안,목포,6310,4781,1320
2015,10,전남,신안,목포,182,163,1118
2015,10,전남,영암,강진군,154,112,1377
2015,10,전남,장흥,장흥,10,16,590
2015,10,전남,함평,영광,2790,2001,1394
2015,10,전남,해남,해남,550,470,1168
2015,10,전북,고창,고창,90,69,1308
2015,10,전북,부안,부안,232,166,1401
2015,10,제주,제주,제주,12,9,1361
2015,11,경기,구리,서울,958,864,1110
2015,11,경남,거창,거창,12,12,965
2015,11,경남,창녕,밀양,765,609,1256
2015,11,경남,창원의창,북창원,4,3,1269
2015,11,경남,함양,산청,344,231,1487
2015,11,경남,합천,합천,66,45,1465
2015,11,경북,경산,대구,168,103,1625
2015,11,경북,구미,구미,6,4,1565
2015,11,경북,군위,의성,100,71,1416
2015,11,경북,김천,추풍령,173,112,1541
2015,11,경북,문경,문경,53,34,1568
2015,11,경북,안동,안동,267,175,1531
2015,11,경북,영천,영천,197,129,1533
2015,11,경북,의성,의성,158,109,1453
2015,11,대구,달성,대구,41,26,1599
2015,11,대구,대구중구,대구,36,36,1000
2015,11,부산,연제,부산,9,10,889
2015,11,전남,고흥,고흥,24,16,1518
2015,11,전남,무안,목포,5905,3883,1521
2015,11,전남,신안,목포,177,152,1164
2015,11,전남,영암,강진군,347,236,1471
2015,11,전남,함평,영광,2107,1355,1555
2015,11,전남,해남,해남,420,332,1264
2015,11,전북,고창,고창,269,194,1384
2015,11,전북,부안,부안,313,187,1677
2015,11,제주,제주,제주,25,16,1589
2015,11,충남,논산,부여,3,4,666
2015,11,충남,서산,서산,2,1,1417
2015,12,경기,구리,서울,1243,969,1283
2015,12,경남,거창,거창,19,12,1607
2015,12,경남,의령,의령군,20,14,1400
2015,12,경남,창녕,밀양,514,389,1322
2015,12,경남,함양,산청,906,654,1385
2015,12,경남,합천,합천,0,0,1375
2015,12,경북,경산,대구,293,196,1497
