지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
98,동두천,2014-06,22.2,33.3,14.6,76.9,183.9
98,동두천,2014-07,25,34,17.8,203.8,193.7
98,동두천,2014-08,23.8,36.3,16.6,125.3,150.5
98,동두천,2014-09,20.5,31.1,11.4,93.1,204.6
98,동두천,2014-10,13.9,29.7,-.9,39.7,225.1
98,동두천,2014-11,7.3,22.7,-4.2,45.3,176.6
98,동두천,2014-12,-4.2,7,-15.6,13.6,189.4
98,동두천,2015-01,-2.3,9.7,-13,17.3,186.5
98,동두천,2015-02,.1,14.3,-14.3,23.4,171.1
98,동두천,2015-03,5.5,23.2,-7.7,8.4,262.3
98,동두천,2015-04,12.7,30,0,82.5,212.3
98,동두천,2015-05,18.3,33.1,5.4,32.8,284.1
98,동두천,2015-06,22.7,34.5,11.8,70.1,253.3
98,동두천,2015-07,24.6,35.7,15.8,348.7,169.6
98,동두천,2015-08,24.8,34.4,15.7,120.6,210.2
98,동두천,2015-09,20.4,29.9,10.7,60.5,255.2
98,동두천,2015-10,13.9,27.2,-2,83.1,223.5
98,동두천,2015-11,8,21.1,-8.1,114.6,92.7
98,동두천,2015-12,.5,13.9,-12.8,26.5,162.3
98,동두천,2016-01,-4.1,10.1,-19.3,1.3,195.4
98,동두천,2016-02,-.4,16.5,-13.2,47.8,184.3
98,동두천,2016-03,6.5,24,-10.2,53.3,243.8
98,동두천,2016-04,13.8,30.9,2.8,86.5,217.4
98,동두천,2016-05,18.5,32.2,7.7,151.8,266.8
98,동두천,2016-06,22.7,32.6,13.5,29.5,228.9
98,동두천,2016-07,25.1,34.9,17.6,366.3,156.9
98,동두천,2016-08,26.5,35.7,12.1,70.4,231.1
98,동두천,2016-09,21.6,30.9,10,39.6,196.5
98,동두천,2016-10,14.6,28.5,-1.8,154.9,185.2
98,동두천,2016-11,6.1,20,-8.7,18.1,155.2
98,동두천,2016-12,.6,14.6,-12,67.7,150.6
98,동두천,2017-01,-2.5,13.6,-14.9,15.5,205.4
98,동두천,2017-02,-.8,12.4,-11.8,15.1,207.9
98,동두천,2017-03,5.6,21,-7.3,15.1,237
98,동두천,2017-04,13.2,28.3,.5,67.5,252.9
98,동두천,2017-05,18.4,30.9,6.9,22.7,289.6
98,동두천,2017-06,22.2,35.5,10.6,50.5,251.8
98,동두천,2017-07,26,34.5,20.2,376.3,119.6
98,동두천,2017-08,24.5,35.9,13.6,334.6,154.4
98,동두천,2017-09,20.1,30.4,6.8,25.3,229.5
98,동두천,2017-10,14.1,27.8,-.9,18.5,152.9
98,동두천,2017-11,4.2,19.5,-9.2,19,160.1
98,동두천,2017-12,-3.3,9.7,-16.6,29.6,185.3
98,동두천,2018-01,-5.4,9.8,-20.4,7,198
98,동두천,2018-02,-2.6,11.7,-16.9,30.7,215
98,동두천,2018-03,7.4,23.8,-8.4,38.7,209
98,동두천,2018-04,12.4,28.7,-1.6,125.9,215.9
98,동두천,2018-05,17.4,30.4,5.3,242.9,242.6
98,동두천,2018-06,22.1,32.2,13.6,193.6,237
98,동두천,2018-07,26.3,36.2,16,216.9,240.5
98,동두천,2018-08,27.2,38.7,17.2,407.4,226.3
98,동두천,2018-09,19.8,31.5,7.5,56.5,210
98,동두천,2018-10,11.4,25.6,-1.4,107.9,230.7
98,동두천,2018-11,6.4,20.8,-5.7,61.5,166.6
98,동두천,2018-12,-2,12.6,-15.5,11,198.7
98,동두천,2019-01,-2.4,9.8,-13,.4,212.7
98,동두천,2019-02,-.3,14.4,-11.3,26.7,202
98,동두천,2019-03,5.7,18.5,-5.2,32.5,221.6
98,동두천,2019-04,11,28.4,-3.6,34.8,219.2
98,동두천,2019-05,18.3,32.8,4.5,34.5,323
98,동두천,2019-06,21.1,31.8,11.6,63.2,237.8
98,동두천,2019-07,24.6,35.8,16.5,329.8,151.8
98,동두천,2019-08,25.4,35.3,16.3,135.2,249.4
98,동두천,2019-09,20.8,29.9,9.6,247.5,179.5
98,동두천,2019-10,14.4,27.9,1.1,38.2,223.8
98,동두천,2019-11,5.7,19.7,-6.6,58.1,194.5
98,동두천,2019-12,0,13.3,-13.4,27.2,148
98,동두천,2020-01,0,12.4,-10.2,71.4,186.6
98,동두천,2020-02,1.2,17.5,-14.9,54.8,179.4
98,동두천,2020-03,6.7,22.3,-5.4,19.7,254.1
98,동두천,2020-04,10.2,24.6,-.7,19.5,280.7
98,동두천,2020-05,17.1,29.5,6.5,134.3,205.7
98,동두천,2020-06,22.8,35.5,13.3,128.6,245.1
98,동두천,2020-07,23,32.2,16.2,248,167.1
98,동두천,2020-08,25.3,35,19.8,757.8,101.4
98,동두천,2020-09,19.5,30.1,9.3,130.4,208.2
98,동두천,2020-10,12,24.8,0,2.9,235.8
98,동두천,2020-11,6.3,19.7,-7.5,73.9,177.6
98,동두천,2020-12,-2.2,10.9,-15.9,.6,198.6
98,동두천,2021-01,-4.2,15,-20.2,15.4,188.8
98,동두천,2021-02,1.3,19.2,-12.2,8.5,189.6
98,동두천,2021-03,7.7,23.9,-3.8,107.8,238.4
98,동두천,2021-04,13,29.1,0,99.3,239
98,동두천,2021-05,15.8,29.9,5,228.8,210.8
98,동두천,2021-06,21.3,30.8,11.5,103.3,207.7
98,동두천,2021-07,26.4,35.7,18.5,100.2,237.8
98,동두천,2021-08,24.3,32.6,17.7,140.6,163.4
98,동두천,2021-09,20.8,29.6,13.8,100.6,203.5
99,파주,2014-01,-3.1,8.1,-15.8,7.8,191.4
99,파주,2014-02,-.2,15.9,-12.2,19.5,182.1
99,파주,2014-03,6,22.6,-9,5.1,219.2
99,파주,2014-04,12.1,25.5,-2.8,18.7,205.1
99,파주,2014-05,16.8,31.3,2,70.7,301.4
99,파주,2014-06,21.7,31.1,15,59.4,196.8
99,파주,2014-07,24.7,33.4,17.6,164.6,200.9
