,city,kind,market,corp,wide,year,month,area,ratio,amount,inn,out,AT_1,AT_7,AT_10,AT_12,HT_7,HT_10,LT_2,RAIN_3,RAIN_6,RAIN_7,RAIN_8,RAIN_10,SUN_1,SUN_2,SUN_4,SUN_5,SUN_7,SUN_10,SUN_11
56,6,0,3,7,0,21,11,4.267915525315896,41.297567061759196,5.446238584504341,8.799043710838209,7.436067635217069,-0.9,25.9,16.4,1.4,30.1,21.8,-3.2,26.8,74.0,194.4,190.5,55.5,215.0,190.5,221.6,314.0,150.1,236.5,203.2
57,6,0,3,7,0,21,10,4.267915525315896,41.297567061759196,5.446238584504341,3.0610384970842595,28.523537890297362,-0.9,25.9,16.4,1.4,30.1,21.8,-3.2,26.8,74.0,194.4,190.5,55.5,215.0,190.5,221.6,314.0,150.1,236.5,203.2
58,6,0,3,7,0,22,8,2.9601484492356627,28.7585776668746,3.423831615740956,11.137266869526398,2.89642915854646,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
59,6,0,3,7,0,22,7,2.9601484492356627,28.7585776668746,3.423831615740956,4.866818398030924,16.662644352240946,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
60,6,0,3,7,0,22,6,2.9601484492356627,28.7585776668746,3.423831615740956,3.5838054418148455,6.793541092237841,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
61,6,0,3,7,0,22,5,2.9601484492356627,28.7585776668746,3.423831615740956,3.2813712501211545,0.2622459903666843,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
62,6,0,3,7,0,22,4,2.9601484492356627,28.7585776668746,3.423831615740956,12.241217616568814,0.022864184453156487,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
63,6,0,3,7,0,22,3,2.9601484492356627,28.7585776668746,3.423831615740956,13.105559620628842,0.007398640063129969,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
64,6,0,3,7,0,22,2,2.9601484492356627,28.7585776668746,3.423831615740956,4.845444999679543,0.0953708570718302,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
65,6,0,3,7,0,22,1,2.9601484492356627,28.7585776668746,3.423831615740956,7.028363132868284,0.01694527240265251,1.6,24.1,14.3,-0.3,28.0,19.5,-1.3,16.3,139.6,270.4,675.7,0.0,177.9,185.0,283.3,177.9,119.4,227.1,171.5
66,7,4,4,8,2,21,12,29.150835026950602,60.55312954876274,42.421177389362796,2.0312392041448333,0.0069213084461538414,1.0,25.2,15.7,2.6,29.7,21.5,-1.5,21.4,113.2,174.1,146.9,227.5,186.8,178.2,194.3,292.0,163.4,174.2,158.4
67,7,4,4,8,2,21,11,29.150835026950602,60.55312954876274,42.421177389362796,8.799043710838209,7.436067635217069,1.0,25.2,15.7,2.6,29.7,21.5,-1.5,21.4,113.2,174.1,146.9,227.5,186.8,178.2,194.3,292.0,163.4,174.2,158.4
68,7,4,4,8,2,21,10,29.150835026950602,60.55312954876274,42.421177389362796,3.0610384970842595,28.523537890297362,1.0,25.2,15.7,2.6,29.7,21.5,-1.5,21.4,113.2,174.1,146.9,227.5,186.8,178.2,194.3,292.0,163.4,174.2,158.4
69,7,4,4,8,2,22,8,20.809401784925335,73.59118319817009,32.83603142411373,11.137266869526398,2.89642915854646,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
70,7,4,4,8,2,22,7,20.809401784925335,73.59118319817009,32.83603142411373,4.866818398030924,16.662644352240946,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
71,7,4,4,8,2,22,6,20.809401784925335,73.59118319817009,32.83603142411373,3.5838054418148455,6.793541092237841,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
72,7,4,4,8,2,22,5,20.809401784925335,73.59118319817009,32.83603142411373,3.2813712501211545,0.2622459903666843,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
73,7,4,4,8,2,22,4,20.809401784925335,73.59118319817009,32.83603142411373,12.241217616568814,0.022864184453156487,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
74,7,4,4,8,2,22,3,20.809401784925335,73.59118319817009,32.83603142411373,13.105559620628842,0.007398640063129969,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
75,7,4,4,8,2,22,2,20.809401784925335,73.59118319817009,32.83603142411373,4.845444999679543,0.0953708570718302,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
76,7,4,4,8,2,22,1,20.809401784925335,73.59118319817009,32.83603142411373,7.028363132868284,0.01694527240265251,3.3,23.0,14.3,0.9,27.0,21.0,-0.7,19.9,198.1,434.0,401.0,6.0,133.4,176.0,269.4,241.5,96.2,206.8,167.1
77,9,4,5,23,2,21,12,29.150835026950602,60.55312954876274,42.421177389362796,2.0312392041448333,0.0069213084461538414,-0.6,23.6,14.2,1.0,27.9,19.6,-4.2,33.5,116.5,185.4,218.1,179.4,215.1,207.7,214.7,312.1,185.7,221.0,121.7
