,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
182,4,6,26,2,29,715.96,20,5,2365,8098,191509,25,1757.0379999999998,55.15000000000001
183,1,10,75,6,24,1023.46,16,9,9521,5981,569472,0,1761.9829999999995,25.027
184,4,1,4,6,14,564.5,20,11,5743,7883,452737,8,4786.045000000001,2.016
185,4,21,3,1,34,504.73,19,1,4330,8170,353752,14,5570.91,821.0
186,0,24,61,1,0,363.64,21,8,4023,8423,338877,1,2027.112,271.105
187,6,2,78,6,36,600.0,20,10,5743,7883,452737,21,5213.902,7.88
188,0,4,8,2,29,287.32,19,7,3309,7471,247231,25,2498.442,20950.006
189,4,5,23,2,7,507.46,16,6,2057,7117,146390,5,2877.005000000001,3195.7
190,7,10,30,3,5,515.31,18,3,65,5940,3836,4,10063.706,29.2
191,4,7,14,1,37,635.54,20,7,2825,8783,248082,30,2150.1100000000006,3491.0
192,4,6,26,2,15,558.02,19,10,3309,7471,247231,9,1702.412,5975.833000000001
193,5,2,78,6,36,803.16,20,4,5743,7883,452737,21,3978.408,5.0
194,6,1,6,1,37,287.5,19,4,4330,8170,353752,30,5370.9090000000015,10.409999999999998
195,4,21,35,1,37,494.77,19,1,4330,8170,353752,30,5570.91,821.0
196,6,10,30,1,35,906.67,17,10,3938,6081,239459,15,17776.199,1.2
197,0,10,60,2,26,396.46,19,8,3309,7471,247231,23,1317.91,6311.0
198,5,27,66,2,8,694.44,18,9,3369,6296,212066,25,3214.3150000000005,122.1
199,0,25,63,1,37,448.44,20,6,2825,8783,248082,30,1832.019,1423.4429999999998
200,2,9,77,6,14,419.13,19,6,8467,6873,581958,8,1395.514,10152.36
201,8,13,40,6,22,547.64,18,5,11327,4932,558659,20,4752.003,34.90000000000001
202,6,5,23,1,0,479.35,20,8,2825,8783,248082,1,3704.711000000001,607.006
203,0,20,28,2,29,834.38,20,2,2365,8098,191509,25,2144.8110000000006,20.19
204,4,7,14,6,22,349.0,21,5,6775,8547,579042,20,1517.1129999999994,4.9
205,7,10,75,1,37,1030.43,17,12,3938,6081,239459,30,14090.754,7.1
206,0,11,36,6,14,1247.09,20,12,5743,7883,452737,8,6157.801,1.79
