,date,qty,total,cost
750,2016-03-16,893.8549999999998,1241.56,1388.9948593451961
751,2016-03-17,860.2400000000001,1174.5,1365.3166558169812
752,2016-03-18,841.2299999999999,1159.15,1377.9228035139024
753,2016-03-19,638.2399999999999,890.68,1395.525194284282
755,2016-03-21,789.1700000000001,1120.72,1420.1249413941227
756,2016-03-22,933.6099999999998,1314.7099999999998,1408.2004263022034
757,2016-03-23,922.61,1274.6099999999994,1381.5263220645772
758,2016-03-24,957.8100000000001,1269.51,1325.429886929558
759,2016-03-25,944.2,1241.7,1315.0815505189578
760,2016-03-26,878.0699999999999,1147.91,1307.3103511109593
761,2016-03-28,991.85,1224.4100000000005,1234.4709381458895
762,2016-03-29,845.6400000000002,1022.2300000000001,1208.824085899437
764,2016-03-30,951.7600000000001,1081.45,1136.2633437000923
765,2016-03-31,977.0699999999998,1122.5,1148.842969285722
771,2016-04-01,718.42,832.7400000000001,1159.1269730798142
780,2016-04-02,700.6899999999998,881.1199999999999,1257.503318157816
791,2016-04-04,950.63,1271.1100000000004,1337.1238021101801
792,2016-04-05,994.7599999999999,1549.7500000000005,1557.9134665648003
793,2016-04-06,895.6800000000001,1375.3200000000004,1535.5037513397647
794,2016-04-07,1053.3899999999999,1600.98,1519.8359581921227
795,2016-04-08,1024.1000000000001,1431.4999999999998,1397.812713602187
796,2016-04-09,1069.6200000000001,1390.5900000000001,1300.0785325629663
772,2016-04-11,1418.5999999999995,1732.909,1221.562808402651
773,2016-04-12,1303.54,1520.31,1166.2933243322032
774,2016-04-13,1372.3800000000003,1606.2999999999993,1170.448418076625
775,2016-04-14,1262.4900000000002,1493.1,1182.6628329729342
776,2016-04-15,1426.82,1704.2899999999997,1194.4674170533071
777,2016-04-16,1236.2200000000003,1456.0900000000001,1177.856692174532
778,2016-04-18,1712.6000000000004,1810.2400000000005,1057.0127291836973
779,2016-04-19,1540.7800000000007,1491.4200000000003,967.964277833305
781,2016-04-20,1588.7500000000005,1320.12,830.917387883556
782,2016-04-21,1504.7700000000004,1135.2800000000002,754.4541690756727
783,2016-04-22,1300.3600000000004,958.4799999999998,737.0881909625023
784,2016-04-23,1218.1200000000003,963.09,790.6363905033985
785,2016-04-25,2006.2100000000003,1511.1399999999996,753.2312170709943
786,2016-04-26,1818.7000000000007,1093.8700000000001,601.4570847308516
787,2016-04-27,1688.1100000000001,877.9999999999999,520.1082867822594
788,2016-04-28,1176.0100000000002,640.21,544.3916293228798
789,2016-04-29,1179.1400000000008,624.6899999999999,529.7844191529415
790,2016-04-30,1034.88,617.47,596.6585497835497
806,2016-05-02,2314.2,1155.7700000000002,499.425287356322
815,2016-05-03,1347.81,637.0200000000003,472.63338304360434
818,2016-05-04,1393.9599999999998,776.1799999999997,556.8165514075008
819,2016-05-05,1160.49,674.5300000000003,581.2458530448348
820,2016-05-06,1244.7600000000004,679.0800000000002,545.5509495806419
821,2016-05-07,1067.37,575.3799999999998,539.0633051331777
822,2016-05-09,1654.6699999999996,898.43,542.9662712202435
797,2016-05-10,1358.0900000000001,742.127,546.4490571317069
798,2016-05-11,795.2700000000001,477.69000000000005,600.663925459278
799,2016-05-12,1156.96,704.32,608.7678052828101
800,2016-05-13,1944.8600000000004,1095.7299999999998,563.3978795388869
801,2016-05-14,2169.2799999999993,1218.48,561.6978905443283
802,2016-05-16,2184.7099999999996,1143.1,523.2273390976378
803,2016-05-17,1554.1299999999999,724.1299999999999,465.93914280015184
804,2016-05-18,1435.2500000000002,657.73,458.2685943215467
805,2016-05-19,1319.6299999999994,602.0600000000001,456.233944363193
807,2016-05-20,1610.8100000000004,701.1800000000001,435.2965278338227
