,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
312,0,20,28,4,13,706.01,21,8,332,7968,26487,7,2027.112,271.105
313,0,26,19,4,13,694.37,21,8,332,7968,26487,7,2027.112,271.105
314,6,5,23,4,13,700.0,21,8,332,7968,26487,7,2027.112,271.105
315,4,5,79,4,12,699.68,21,8,332,7968,26487,7,2027.112,271.105
316,4,5,23,4,12,665.5,21,8,332,7968,26487,7,2027.112,271.105
317,4,5,22,4,12,540.91,21,8,332,7968,26487,7,2027.112,271.105
318,4,6,25,4,12,651.62,21,8,332,7968,26487,7,2027.112,271.105
319,4,20,53,4,12,691.05,21,8,332,7968,26487,7,2027.112,271.105
320,0,5,21,4,12,601.72,21,8,332,7968,26487,7,2027.112,271.105
321,0,3,13,4,12,703.83,21,8,332,7968,26487,7,2027.112,271.105
322,0,13,41,4,12,605.86,21,8,332,7968,26487,7,2027.112,271.105
323,0,25,63,4,12,407.58,21,8,332,7968,26487,7,2027.112,271.105
324,7,1,6,4,12,765.08,21,8,332,7968,26487,7,2027.112,271.105
325,6,5,79,4,12,892.46,21,8,332,7968,26487,7,2027.112,271.105
326,4,11,11,6,14,965.08,21,8,6775,8547,579042,8,2027.112,271.105
327,4,1,4,6,14,340.0,21,8,6775,8547,579042,8,2027.112,271.105
328,4,21,54,6,14,861.58,21,8,6775,8547,579042,8,2027.112,271.105
329,4,21,35,6,14,854.18,21,8,6775,8547,579042,8,2027.112,271.105
330,4,21,3,6,14,816.06,21,8,6775,8547,579042,8,2027.112,271.105
331,4,6,25,6,14,894.66,21,8,6775,8547,579042,8,2027.112,271.105
332,4,6,26,6,14,796.83,21,8,6775,8547,579042,8,2027.112,271.105
333,4,7,14,6,14,875.68,21,8,6775,8547,579042,8,2027.112,271.105
334,4,20,53,6,14,863.26,21,8,6775,8547,579042,8,2027.112,271.105
335,4,2,12,6,14,610.31,21,8,6775,8547,579042,8,2027.112,271.105
336,4,15,44,6,14,848.33,21,8,6775,8547,579042,8,2027.112,271.105
337,4,27,66,6,14,704.52,21,8,6775,8547,579042,8,2027.112,271.105
338,4,16,45,6,14,924.44,21,8,6775,8547,579042,8,2027.112,271.105
339,4,16,46,6,14,902.84,21,8,6775,8547,579042,8,2027.112,271.105
340,4,0,0,6,14,1149.88,21,8,6775,8547,579042,8,2027.112,271.105
341,4,18,76,6,14,834.67,21,8,6775,8547,579042,8,2027.112,271.105
342,0,10,10,6,14,1115.31,21,8,6775,8547,579042,8,2027.112,271.105
343,0,10,37,6,14,901.34,21,8,6775,8547,579042,8,2027.112,271.105
344,0,5,17,6,14,894.36,21,8,6775,8547,579042,8,2027.112,271.105
